array_type,algorithm,n,time,ops
random,quick,2000,1425.0333129893988,193565
random,shell,100,35.85590166039765,8478
random,shell,200,81.11755596473813,20038
random,shell,300,145.28592233546078,33946
random,shell,400,216.67236229404807,47704
random,shell,500,290.8174868207425,61952
random,shell,600,375.73495996184647,77280
random,shell,700,462.03995821997523,95236
random,shell,800,548.130061943084,112898
random,shell,900,655.6808820459992,131242
random,shell,1000,738.2351369597018,148278
random,shell,1100,841.6632749140263,165086
random,shell,1200,950.0925161410123,181750
random,shell,1300,1029.6200180891901,201174
random,shell,1400,1136.703253723681,220538
random,shell,1500,1225.2783949952573,237886
random,shell,1600,1368.139241822064,258798
random,shell,1700,1451.637583086267,275582
random,shell,1800,1570.5732768401504,298846
random,shell,1900,1646.9259397126734,314178
random,shell,2000,1736.7166851181537,331946
reversed,selection,100,88.80428154952824,22847
reversed,selection,200,344.8882861994207,90697
reversed,selection,300,865.7066605519503,203547
reversed,selection,400,1771.6391407884657,361397
reversed,selection,500,2948.4241863247007,564247
reversed,selection,600,4423.615800915286,812097
reversed,selection,700,6296.585062518716,1104947
reversed,selection,800,8531.121638370678,1442797
reversed,selection,900,10896.454143803567,1825647
reversed,selection,1000,13173.430023016408,2253497
reversed,selection,1100,15856.806745287031,2726347
reversed,selection,1200,18940.88676199317,3244197
reversed,selection,1300,22235.529195750132,3807047
reversed,selection,1400,25501.515798969194,4414897
reversed,selection,1500,28924.084140453488,5067747
reversed,selection,1600,32501.725861802694,5765597
reversed,selection,1700,36808.7724968791,6508447
reversed,selection,1800,41390.16162371263,7296297
reversed,selection,1900,45830.89663647115,8129147
reversed,selection,2000,50937.68574181013,9006997
reversed,bubble,100,257.46418396010995,44851
reversed,bubble,200,1004.5081574935465,179701
reversed,bubble,300,2291.8266023043543,404551
reversed,bubble,400,4379.80251503177,719401
reversed,bubble,500,7164.832595735788,1124251
reversed,bubble,600,10677.784065483138,1619101
reversed,bubble,700,15007.281597936526,2203951
reversed,bubble,800,20129.73742443137,2878801
reversed,bubble,900,26167.576574953273,3643651
reversed,bubble,1000,32818.82083858363,4498501
reversed,bubble,1100,40273.92744203098,5443351
reversed,bubble,1200,48620.32423727214,6478201
reversed,bubble,1300,57990.37921940908,7603051
reversed,bubble,1400,67563.74908844009,8817901
reversed,bubble,1500,78480.97744281404,10122751
reversed,bubble,1600,91040.00584455207,11517601
reversed,bubble,1700,102068.51082271896,13002451
reversed,bubble,1800,116264.55010729842,14577301
reversed,bubble,1900,128692.09254160523,16242151
reversed,bubble,2000,145109.97414239682,17997001
reversed,insertion,100,179.66997809708118,35442
reversed,insertion,200,697.4208191968501,140892
reversed,insertion,300,1561.6215381305665,316342
reversed,insertion,400,2917.0733655337244,561792
reversed,insertion,500,4759.700859431177,877242
reversed,insertion,600,7052.109215874225,1262692
reversed,insertion,700,9843.072540825233,1718142
reversed,insertion,800,13107.364216120914,2243592
reversed,insertion,900,16910.91248532757,2839042
reversed,insertion,1000,21179.563398472965,3504492
reversed,insertion,1100,25977.562521584332,4239942
reversed,insertion,1200,31181.977541418746,5045392
reversed,insertion,1300,37167.60080307722,5920842
reversed,insertion,1400,43573.81163863465,6866292
reversed,insertion,1500,50056.1049382668,7881742
